City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
538,Pakxe,LA,75.83,overcast clouds,15.1167,105.7833,Champasak Palace Hotel
539,Mikkeli,FI,78.91,clear sky,61.6886,27.2723,"Original Sokos Hotel Vaakuna, Mikkeli"
540,Andros Town,BS,87.76,few clouds,24.7,-77.7667,Hanks place
541,Guiratinga,BR,90.95,few clouds,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
542,Kavieng,PG,81.82,light rain,-2.5744,150.7967,Nusa Island Retreat
545,Puerto Carreno,CO,86.79,broken clouds,6.189,-67.4859,Casa Hotel Victoria
550,Urumqi,CN,83.35,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
551,Nieuw Nickerie,SR,82.02,few clouds,5.95,-56.9833,Ishwardat Inn
556,Dabhol,IN,77.7,overcast clouds,17.6,73.1667,Ashwamedh Resort
560,Fallon,US,90.91,few clouds,39.4735,-118.7774,Best Western Fallon Inn & Suites
563,San Cristobal,VE,82.58,overcast clouds,7.7669,-72.225,Pirineos
565,Gilbues,BR,91.83,clear sky,-9.8317,-45.3439,Hotel Camapuã
567,Saraza,PH,79.02,overcast clouds,8.7356,117.78,Farmqo Beach (Matangkay)
568,Lata,PT,80.58,few clouds,40.1629,-8.3327,Casa Maquia
569,Tual,ID,77.59,broken clouds,-5.6667,132.75,Grand Vilia Hotel
572,Harper,LR,78.26,broken clouds,4.375,-7.7169,Screensaver
575,Mandan,US,90.37,clear sky,46.8267,-100.8896,Twin City Estates
576,Nouadhibou,MR,80.58,dust,20.931,-17.0347,El Medina
578,Nantucket,US,89.74,clear sky,41.2835,-70.0995,Jared Coffin House
579,Bandundu,CD,84.74,overcast clouds,-3.3167,17.3667,Coja Color
581,Alwar,IN,85.53,overcast clouds,27.5667,76.6,Hotel Saroop Vilas Palace
582,Miri,MY,77.2,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
589,Sarangpur,IN,75.36,light rain,23.5667,76.4667,Mk manjil
592,Maine-Soroa,NE,90.79,overcast clouds,13.2114,12.0241,Complexe
595,Ozuluama,MX,92.64,scattered clouds,21.6667,-97.85,Hotel Posada De La Roma
597,Quang Ngai,VN,75.88,overcast clouds,15.1167,108.8,Central Hotel
599,Rawlins,US,87.69,clear sky,41.7911,-107.2387,"Holiday Inn Express Rawlins, an IHG Hotel"
600,Palmer,US,92.21,clear sky,42.1584,-72.3287,Wedgewood Motel
602,Sao Miguel Do Araguaia,BR,93.38,clear sky,-13.275,-50.1628,Hotel Executivo Palace
609,Dhidhdhoo,MV,81.37,overcast clouds,6.8833,73.1,Dhidhoo beach
610,Xuddur,SO,76.17,overcast clouds,4.1213,43.8894,Banjanay Hotel
617,Campina Verde,BR,86.81,scattered clouds,-19.5356,-49.4864,Hotel Lino
618,Saint Anthony,US,91.65,scattered clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
622,Zhuhai,CN,87.58,clear sky,22.2769,113.5678,珠海粤财假日酒店
624,Carnduff,CA,79.38,scattered clouds,49.1667,-101.8009,Western Star All Suites Hotel Carnduff
627,Manggar,ID,79.7,overcast clouds,-2.8833,108.2667,Guest Hotel
630,Davila,PH,80.58,clear sky,18.4726,120.5763,Blue Ridge Beach Resort
631,Teguise,ES,77.22,few clouds,29.0605,-13.564,B&B La Casona de Nazaret
633,Karachi,PK,84.02,scattered clouds,24.9056,67.0822,Sadaat
635,Imbituba,BR,75.09,light rain,-28.24,-48.6703,Praia Hotel Imbituba
637,Constantine,DZ,94.41,few clouds,36.365,6.6147,Grand Hotel Cirta
639,Utmanzai,PK,83.01,broken clouds,34.188,71.7629,ENGR. JUNAID ZAMAN HOME
641,Denpasar,ID,78.46,scattered clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
643,Terrasini,IT,86.61,clear sky,38.146,13.0844,Florio Park Hotel
646,Korla,CN,83.91,clear sky,41.7597,86.1469,Gulisitan Hotel
650,Qalyub,EG,88.59,clear sky,30.1792,31.2056,كمال فهمى محمد فهمى
651,Balikpapan,ID,77.99,few clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
652,Shahr-E Kord,IR,80.62,scattered clouds,32.3256,50.8644,Shahrekord Tourist Hotel
654,Nurota,UZ,92.17,clear sky,40.5614,65.6886,Guest House Ruslan Nurata & Tours
655,Council Bluffs,US,90.32,broken clouds,41.2619,-95.8608,"Holiday Inn Express & Suites Council Bluffs - Conv Ctr Area, an IHG Hotel"
656,Ishigaki,JP,84.92,scattered clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
657,Xiamen,CN,83.25,clear sky,24.4798,118.0819,Xiamen Dongchen Hotel
658,Alofi,NU,76.06,broken clouds,-19.0595,-169.9187,Taloa Heights
659,Little Current,CA,78.42,scattered clouds,45.9793,-81.9248,Hawberry Motel
662,Luleburgaz,TR,76.96,clear sky,41.4039,27.3592,alparslan rant a car
663,Ahuimanu,US,82.11,few clouds,21.4447,-157.8378,Paradise Bay Resort
665,Khash,IR,81.3,light rain,28.2211,61.2158,خوابگاه آبجی محدثه
667,Estevan,CA,79.0,clear sky,49.1334,-102.9842,"Motel 6 Estevan, SK"
672,Sokoni,TZ,75.27,clear sky,-6.4333,39.55,Ujamaa Beach Resort
681,Naranjal,EC,79.54,overcast clouds,-2.6667,-79.6167,Media Naranja
682,Magdalena,PH,82.35,broken clouds,14.1999,121.429,Samparada & Gestiada Residences
683,Diffa,NE,91.26,overcast clouds,13.3154,12.6113,ProDAF/Diffa
685,Hobyo,SO,76.46,scattered clouds,5.3505,48.5268,Iftin hotel hobyo
687,Siva,EG,90.5,clear sky,29.2041,25.5195,Qasr Alzaytuna Inn
688,Palimbang,PH,77.4,overcast clouds,6.2106,124.1894,Felmar Beach resort
689,Ndioum,SN,91.54,overcast clouds,16.5129,-14.6471,l'hôtel samassa
692,Weligama,LK,78.53,overcast clouds,5.9667,80.4167,Weligama Bay Resort
696,Kudahuvadhoo,MV,82.85,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
698,Juarez,MX,92.3,broken clouds,31.7333,-106.4833,Hotel Santa Fe
702,Khartoum,SD,93.02,scattered clouds,15.5518,32.5324,Hotel China
703,Road Town,VG,87.89,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
704,Constancia,MX,91.74,overcast clouds,24.2231,-107.1869,Mi casa
709,Hamilton,US,93.25,haze,39.1834,-84.5333,Six Acres Bed & Breakfast
713,Sorong,ID,77.27,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
716,Chama,CH,89.76,few clouds,47.1821,8.4636,City Garden Hotel
718,Torres,BR,79.83,broken clouds,-29.3353,-49.7269,Farol Hotel
720,Timizart,DZ,88.36,clear sky,36.8,4.2667,yefssah restaurant
721,Nargana,PA,83.41,overcast clouds,9.4428,-78.5906,Dubbir
724,Marshfield,US,86.88,clear sky,44.6689,-90.1718,"Holiday Inn Conference Ctr Marshfield, an IHG Hotel"
